,Tarih,Fon Kodu,Fon Adı,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
135,02.01.2024,CTP,İŞ PORTFÖY AAF SERBEST (DÖVİZ) ÖZEL FON,31.590658,"9,051,870.0",1,"285,954,528.35"
136,02.01.2024,CTV,İŞ PORTFÖY MHA SERBEST (DÖVİZ) ÖZEL FON,5.514508,"50,897,157.0",5,"280,672,779.47"
137,02.01.2024,CVA,AK PORTFÖY ÖPY SEKİZİNCİ SERBEST (TL) ÖZEL FON,1.46886,"2,310,971,747.0",1,"3,394,493,807.5"
138,02.01.2024,CVB,AK PORTFÖY İKİNCİ SERBEST (TL) FON,1.429701,"506,348,112.0",8,"723,926,283.53"
139,02.01.2024,CVC,AK PORTFÖY ÖPY KAR PAYI ÖDEYEN SERBEST (TL) ÖZEL FON,0.0,0.0,0,0.0
140,02.01.2024,CVD,AK PORTFÖY ÖPY DÖRDÜNCÜ SERBEST (DÖVİZ) ÖZEL FON,34.637408,"215,249,997.0","2,766","7,455,701,941.42"
141,02.01.2024,CVE,AK PORTFÖY BİRİNCİ KAMU BORÇLANMA ARAÇLARI (TL) ÖZEL FONU,1.160463,"110,022,256.0",1,"127,676,800.88"
142,02.01.2024,CVF,AK PORTFÖY SÜRDÜRÜLEBİLİRLİK SERBEST (TL) ÖZEL FON,1.568578,"206,783,109.0",1,"324,355,417.06"
143,02.01.2024,CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,1.906182,"114,159,634.0","5,613","217,609,073.24"
144,02.01.2024,DAC,DENİZ PORTFÖY BORİS SERBEST (DÖVİZ) ÖZEL FON,36.157018,"4,567,284.0",2,"165,139,370.92"
145,02.01.2024,DAH,DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),1.847534,"153,704,800.0","2,112","283,974,895.82"
146,02.01.2024,DAI,DENİZ PORTFÖY ARTI SERBEST (DÖVİZ) ÖZEL FON,49.011138,"3,739,193.0",4,"183,262,105.97"
147,02.01.2024,DAL,DENİZ PORTFÖY SU SERBEST (DÖVİZ) ÖZEL FON,36.460102,"2,541,910.0",1,"92,678,296.95"
148,02.01.2024,DAS,DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,30.545615,"1,078,040,189.31","8,262","32,929,400,810.16"
149,02.01.2024,DAT,DENİZ PORTFÖY ARMUT SERBEST (DÖVİZ) ÖZEL FON,49.385774,"4,410,366.0",6,"217,809,336.99"
150,02.01.2024,DAZ,DENİZ PORTFÖY TÜRKİZ SERBEST(DÖVİZ) ÖZEL FON,5.042243,"15,385,393.0",4,"77,576,897.65"
151,02.01.2024,DBA,DENİZ PORTFÖY ALTIN FONU,0.229467,"5,766,127,400.0","15,583","1,323,135,974.08"
152,02.01.2024,DBB,DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU,0.048439,"214,992,982.87",995,"10,414,128.68"
153,02.01.2024,DBG,DENİZ PORTFÖY BEYAZ SERBEST ÖZEL FONU,0.252105,"4,606,100,666.0",4,"1,161,221,809.61"
154,02.01.2024,DBH,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,0.184481,"5,643,404,000.0","13,057","1,041,102,170.43"
155,02.01.2024,DBK,DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,0.040297,"3,181,182,209.0","89,665","128,191,474.17"
156,02.01.2024,DBP,DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON,0.203115,"539,276,100.0","1,199","109,534,875.67"
157,02.01.2024,DBZ,DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0.04673,"1,412,500,200.0","1,241","66,005,679.84"
158,02.01.2024,DCB,DENİZ PORTFÖY KISA VADELİ SERBEST (TL) FON,1.505133,"18,070,734,791.0","3,539","27,198,864,662.2"
159,02.01.2024,DCD,DENİZ PORTFÖY SKA SERBEST (DÖVİZ) ÖZEL FON,34.834018,"6,126,167.0",1,"213,399,009.66"
160,02.01.2024,DCE,DENİZ PORTFÖY BAKHAM SERBEST (DÖVİZ) ÖZEL FON,34.170003,"16,542,457.0",3,"565,255,803.24"
161,02.01.2024,DCP,DENİZ PORTFÖY CÖMERT SERBEST (DÖVİZ) ÖZEL FON,38.806692,"4,167,722.0",3,"161,735,505.68"
162,02.01.2024,DCV,DENİZ PORTFÖY KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,30.743611,"20,342,789.0",218,"625,410,792.69"
163,02.01.2024,DDA,DENİZ PORTFÖY ALTINCI SERBEST FON,7.503539,"9,401,515.0",35,"70,544,633.43"
164,02.01.2024,DDC,DENİZ PORTFÖY DÖRDÜNCÜ SERBEST FON,1.776457,"988,061.0",4,"1,755,248.12"
165,02.01.2024,DDE,DENİZ PORTFÖY BADE SERBEST (DÖVİZ) ÖZEL FON,39.993164,"6,633,401.0",1,"265,290,692.8"
166,02.01.2024,DDF,DENİZ PORTFÖY DİNAMO SERBEST FON,3.595777,"7,244,165.0",33,"26,048,404.09"
167,02.01.2024,DDP,DENİZ PORTFÖY SK SERBEST (DÖVİZ) ÖZEL FON,37.524206,"1,046,042.0",1,"39,251,895.06"
168,02.01.2024,DDS,DENİZ PORTFÖY DAMLA SERBEST ÖZEL FON,1e-06,"359,764,965.0",1,453.56
169,02.01.2024,DEF,ALLBATROSS PORTFÖY DEFNE SERBEST FON,1.012275,"8,481,055.0",35,"8,585,162.97"
170,02.01.2024,DFC,DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,1.886795,"38,839,024.0","2,626","73,281,287.88"
171,02.01.2024,DFD,DENİZ PORTFÖY EMTİA SERBEST FON,1.355455,"7,016,326.0",132,"9,510,312.09"
172,02.01.2024,DFI,ATLAS PORTFÖY İKİNCİ SERBEST (TL) FON,0.264446,"2,982,752,032.0",496,"788,776,715.01"
173,02.01.2024,DFO,AZİMUT PORTFÖY DLS SERBEST ÖZEL FON,1.277925,"307,000,000.0",1,"392,322,961.36"
174,02.01.2024,DGH,ATA PORTFÖY ÜÇÜNCÜ SERBEST (TL) FONU,3.468319,"167,409,441.0",100,"580,629,337.26"
175,02.01.2024,DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.789484,"47,725,154.0","3,360","180,853,721.52"
176,02.01.2024,DHM,DENİZ PORTFÖY ESG-SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,2.532981,"9,959,626.0",532,"25,227,540.98"
177,02.01.2024,DHS,DENİZ PORTFÖY CC HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),258.846895,"3,014,226.0",1,"780,223,039.78"
178,02.01.2024,DK8,DENİZ PORTFÖY KAR PAYI ÖDEYEN SEKİZİNCİ SERBEST (DÖVİZ) FON,30.955038,"9,679,885.0",41,"299,641,209.33"
179,02.01.2024,DKA,DENİZ PORTFÖY KAR PAYI ÖDEYEN DOKUZUNCU SERBEST (DÖVİZ) FON,29.625172,"40,987,040.0",228,"1,214,248,116.19"
180,02.01.2024,DKD,DENİZ PORTFÖY YEDİNCİ SERBEST (DÖVİZ) FON,34.191613,"17,644,054.0",118,"603,278,671.03"
181,02.01.2024,DKH,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.532466,"21,073,282.0","1,051","32,294,095.43"
182,02.01.2024,DKS,DENİZ PORTFÖY KUZEYYILDIZI SERBEST (DÖVİZ) ÖZEL FON,35.264616,"3,207,930.0",2,"113,126,418.1"
183,02.01.2024,DKV,DENİZ PORTFÖY KAR PAYI ÖDEYEN İKİNCİ SERBEST (DÖVİZ) FON,31.406646,"12,429,794.0",91,"390,378,142.87"
184,02.01.2024,DLD,DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.792806,"11,686,264.0",544,"44,323,730.81"
185,02.01.2024,DLG,DENİZ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,1.068018,"3,263,700.0",65,"3,485,689.75"
186,02.01.2024,DLY,DENİZ PORTFÖY PARA PİYASASI (TL) FONU,1.954793,"6,097,771,221.0","241,366","11,919,879,549.77"
