Fon Kodu	Tarih	Attribute	Value
AHU	2024-02-04	İşlem Başlangıç Saati	09:00
AHU	2024-02-04	Max. Alış İşlem Miktarı	
AHU	2024-02-04	Giriş Komisyonu	
AIS	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
AIS	2024-02-04	İşlem Başlangıç Saati	09:00
AIS	2024-02-04	Fonun Faiz İçeriği	
AIS	2024-02-04	Çıkış Komisyonu	
AIS	2024-02-04	Son İşlem Saati	17:45
AIS	2024-02-04	Fon Alış Valörü	1.0
AIS	2024-02-04	Fon Satış Valörü	1.0
AIS	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
AIS	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AIS	2024-02-04	Min. Satış İşlem Miktarı	1
AIS	2024-02-04	ISIN Kodu	TRYAKBK00847
AIS	2024-02-04	Giriş Komisyonu	
AIS	2024-02-04	Fonun Risk Değeri	1
AIS	2024-02-04	Kodu	AIS
AIS	2024-02-04	Min. Alış İşlem Miktarı	1
AK2	2024-02-04	Son İşlem Saati	17:45
AK2	2024-02-04	ISIN Kodu	TRMAK2WWWWW5
AK2	2024-02-04	Çıkış Komisyonu	
AK2	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AK2	2024-02-04	İşlem Başlangıç Saati	09:00
AK2	2024-02-04	Kodu	AK2
AK2	2024-02-04	Giriş Komisyonu	
AK2	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
AK2	2024-02-04	Fonun Faiz İçeriği	
AK2	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
AK2	2024-02-04	Fonun Risk Değeri	5
AK2	2024-02-04	Min. Alış İşlem Miktarı	1
AK2	2024-02-04	Fon Satış Valörü	1.0
AK2	2024-02-04	Fon Alış Valörü	1.0
AK2	2024-02-04	Min. Satış İşlem Miktarı	1
AK3	2024-02-04	Fon Satış Valörü	2.0
AK3	2024-02-04	Giriş Komisyonu	
AK3	2024-02-04	ISIN Kodu	TRMAK3WWWWW3
AK3	2024-02-04	Fon Alış Valörü	1.0
AK3	2024-02-04	Fonun Faiz İçeriği	
AK3	2024-02-04	Min. Alış İşlem Miktarı	1
AK3	2024-02-04	Kodu	AK3
AK3	2024-02-04	İşlem Başlangıç Saati	09:00
AK3	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
AK3	2024-02-04	Min. Satış İşlem Miktarı	1
AK3	2024-02-04	Fonun Risk Değeri	6
AK3	2024-02-04	Çıkış Komisyonu	
AK3	2024-02-04	Son İşlem Saati	17:45
AK3	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
AK3	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AKE	2024-02-04	Fon Satış Valörü	2.0
AKE	2024-02-04	Fonun Faiz İçeriği	
AKE	2024-02-04	İşlem Başlangıç Saati	09:00
AKE	2024-02-04	Giriş Komisyonu	
AKE	2024-02-04	Fonun Risk Değeri	6
AKE	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AKE	2024-02-04	Min. Alış İşlem Miktarı	1
AKE	2024-02-04	Fon Alış Valörü	1.0
AKE	2024-02-04	Kodu	AKE
AKE	2024-02-04	Çıkış Komisyonu	
AKE	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
AKE	2024-02-04	Son İşlem Saati	17:45
AKE	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
AKE	2024-02-04	ISIN Kodu	TRYAKBK00318
AKE	2024-02-04	Min. Satış İşlem Miktarı	1
AKU	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
